"Date(UTC)","UnixTimeStamp","Value (Wei)"
"9/14/2021","1631577600","115944363747"
"9/15/2021","1631664000","125829011255"
"9/16/2021","1631750400","140977487036"
"9/17/2021","1631836800","116735956165"
"9/18/2021","1631923200","115373719873"
"9/19/2021","1632009600","110709763452"
"9/20/2021","1632096000","144600813696"
"9/21/2021","1632182400","136867761526"
"9/22/2021","1632268800","109174432318"
"9/23/2021","1632355200","53991196714"
"9/24/2021","1632441600","56822746269"
"9/25/2021","1632528000","45513143768"
"9/26/2021","1632614400","48936232017"
"9/27/2021","1632700800","42035118967"
"9/28/2021","1632787200","37897571366"
"9/29/2021","1632873600","50116165903"
"9/30/2021","1632960000","43907939488"
"10/1/2021","1633046400","40260428234"
"10/2/2021","1633132800","41302348913"
"10/3/2021","1633219200","47418774099"
"10/4/2021","1633305600","50814232738"
"10/5/2021","1633392000","96209319748"
"10/6/2021","1633478400","44413222312"
"10/7/2021","1633564800","40685134314"
"10/8/2021","1633651200","38324897336"
"10/9/2021","1633737600","35857419133"
"10/10/2021","1633824000","40375224799"
"10/11/2021","1633910400","39337382455"
"10/12/2021","1633996800","45775958751"
"10/13/2021","1634083200","37141773782"
"10/14/2021","1634169600","37714921298"
"10/15/2021","1634256000","40624613004"
"10/16/2021","1634342400","37952236269"
"10/17/2021","1634428800","38099307120"
"10/18/2021","1634515200","38242382815"
"10/19/2021","1634601600","36688822563"
"10/20/2021","1634688000","65912502217"
"10/21/2021","1634774400","37507190532"
"10/22/2021","1634860800","41350753363"
"10/23/2021","1634947200","36416861429"
"10/24/2021","1635033600","36063989536"
"10/25/2021","1635120000","35846639954"
"10/26/2021","1635206400","38355320124"
"10/27/2021","1635292800","41096789870"
"10/28/2021","1635379200","37188751817"
"10/29/2021","1635465600","34319538232"
"10/30/2021","1635552000","34137497928"
"10/31/2021","1635638400","34236235267"
"11/1/2021","1635724800","37973939122"
"11/2/2021","1635811200","36158099903"
"11/3/2021","1635897600","38576836559"
"11/4/2021","1635984000","41316793267"
"11/5/2021","1636070400","38166764309"
"11/6/2021","1636156800","35975284862"
"11/7/2021","1636243200","39657478265"
"11/8/2021","1636329600","58350220593"
"11/9/2021","1636416000","38096083565"
"11/10/2021","1636502400","44940505205"
"11/11/2021","1636588800","37494709746"
"11/12/2021","1636675200","38118815340"
"11/13/2021","1636761600","109467386076"
"11/14/2021","1636848000","35971172725"
"11/15/2021","1636934400","43532104047"
"11/16/2021","1637020800","47799781231"
"11/17/2021","1637107200","65756435975"
"11/18/2021","1637193600","93538659300"
"11/19/2021","1637280000","46423810372"
"11/20/2021","1637366400","59264436507"
"11/21/2021","1637452800","76193027231"
"11/22/2021","1637539200","153269609312"
"11/23/2021","1637625600","114737540849"
"11/24/2021","1637712000","93979382524"
"11/25/2021","1637798400","112357284226"
"11/26/2021","1637884800","164748490333"
"11/27/2021","1637971200","46140976571"
"11/28/2021","1638057600","57428680880"
"11/29/2021","1638144000","98925764953"
"11/30/2021","1638230400","50550428270"
"12/1/2021","1638316800","48597944242"
"12/2/2021","1638403200","64867568458"
"12/3/2021","1638489600","55327456526"
"12/4/2021","1638576000","75310770067"
"12/5/2021","1638662400","46399060790"
"12/6/2021","1638748800","50468317211"
