"Date(UTC)","UnixTimeStamp","Value"
"11/20/2021","1637366400","83471588511"
"11/21/2021","1637452800","91608432980"
"11/22/2021","1637539200","93517950733"
"11/23/2021","1637625600","97725127036"
"11/24/2021","1637712000","92330735853"
"11/25/2021","1637798400","90238322996"
"11/26/2021","1637884800","90619645949"
"11/27/2021","1637971200","74515474055"
"11/28/2021","1638057600","70907686086"
"11/29/2021","1638144000","73467785939"
"11/30/2021","1638230400","77187029683"
"12/1/2021","1638316800","78269306252"
"12/2/2021","1638403200","93035943157"
"12/3/2021","1638489600","101271372118"
"12/4/2021","1638576000","108726513512"
"12/5/2021","1638662400","79444090386"
"12/6/2021","1638748800","97514200416"
